Number,FullName,FirstName,LastName
3715007328,ErmannoLattuada,Ermanno,Lattuada
3715299757,PinaLucchesi,Pina,Lucchesi
3937389814,GiannaPaolucci,Gianna,Paolucci
3713955224,EttaLerner,Etta,Lerner
3974315862,GaspareLeoncavallo,Gaspare,Leoncavallo
3331900625,ErmannoCasalodi,Ermanno,Casalodi
3715752568,SusannaRuggieri,Susanna,Ruggieri
3711664067,FlaviaBorsellino,Flavia,Borsellino
3314835453,RodolfoVespucci,Rodolfo,Vespucci
3511754487,ErikaRitacca,Erika,Ritacca
3979899940,AnnettaGuicciardini,Annetta,Guicciardini
3701731763,LianaTamburi,Liana,Tamburi
3518553638,EmmaJuvara,Emma,Juvara
3911202829,GabriellaCaironi,Gabriella,Caironi
3778448538,AlderanoFornaciari,Alderano,Fornaciari
3478950547,PasqualGrossi,Pasqual,Grossi
3892329142,TeresaMondaini,Teresa,Mondaini
3715032943,UmbertoFilzi,Umberto,Filzi
3804316181,CorradoBuonauro,Corrado,Buonauro
3515792993,GermanaVittadello,Germana,Vittadello
3228183374,CoriolanoGiannone,Coriolano,Giannone
3783625121,BernardoVecoli,Bernardo,Vecoli
3351726132,SandraCundari,Sandra,Cundari
3783269346,AmedeoNavone,Amedeo,Navone
3772523508,NanniDossetti,Nanni,Dossetti
3930882797,GiuliaMoneta,Giulia,Moneta
3972892338,OrnellaPertile,Ornella,Pertile
3458845754,GuarinoFalcone,Guarino,Falcone
3780161395,SalviTrobbiani,Salvi,Trobbiani
3716611348,ErmesFranceschi,Ermes,Franceschi
3733963117,TorquatoRossetti,Torquato,Rossetti
3824475557,PasqualMascagni,Pasqual,Mascagni
3779693654,GriseldaLussu,Griselda,Lussu
3911794759,LuchinoBiagiotti,Luchino,Biagiotti
3403109675,LillaBertoli,Lilla,Bertoli
3514452839,RembrandtPiane,Rembrandt,Piane
3772471166,MelissaArgento,Melissa,Argento
3756261899,SilviaTaliercio,Silvia,Taliercio
3711876874,EvangelistaAnguillara,Evangelista,Anguillara
